Group ID,Temporal sequence,Group size,Cumulative rainfall (mm),Average maximum temperature (degrees C),fGC (g/ng dry feces)
5,101,101,0.0,30.2,77.1
5,102,100,0.0,30.0,105.5
5,103,99,0.0,31.3,91.0
5,104,101,0.0,33.8,99.4
5,105,99,4.6,35.1,87.3
5,106,102,68.2,33.9,100.1
5,107,105,0.0,34.6,84.3
5,108,105,14.6,34.8,74.3
5,109,102,9.4,35.3,100.8
5,110,105,4.4,36.5,101.0
5,111,96,37.8,35.1,81.4
5,112,97,4.3,33.4,73.1
5,113,99,2.2,32.3,71.3
5,114,100,0.0,31.4,66.2
5,115,100,0.0,30.6,75.6
5,116,99,0.0,34.3,83.8
5,117,95,0.0,34.2,74.3
5,118,98,50.4,34.4,66.6
5,119,100,66.0,34.3,87.2
5,120,100,198.2,33.1,67.7
5,121,100,13.2,35.1,63.2
5,122,101,153.0,33.1,54.8
5,123,102,25.8,33.8,57.8
5,124,105,21.8,32.6,65.8
5,125,102,15.4,31.0,88.4
5,126,103,0.0,30.4,96.5
5,127,106,0.0,30.7,95.4
5,128,111,0.0,32.2,107.9
5,129,113,15.4,34.4,74.0
